Applicants MCC Licence No;Applicant Name;MCC Medicine Reg. No.;Nappi Code;ATC 4 ;Medicine Schedule;Medicine Proprietary Name;Active Ingredients;Strength;Unit;Dosage Form;Pack Size;Quantity;Manufacturer Price;Logistics Fee;VAT;SEP;Unit Price;Effective Date;Status;Originator or Generic;12 Months Volume of Sales
0000000983;Akacia Health Care (Pty) Ltd;G2022;807834017;D07AA;S4;Biocort ;Hydrocortisone Acetate;10;mg/g;CRE;500;1;346,65;41,60;58,24;446,49;0,89;01 April 2018;;Generic;
0000000983;Akacia Health Care (Pty) Ltd;G2022;807834018;D07AA;S4;Biocort;Hydrocortisone Acetate;10;mg/g;CRE;20;1;13,88;1,66;2,33;17,87;0,89;;;Generic;
0000000983;Akacia Health Care (Pty) Ltd;Y/2.9/355;809691019;N02AA;S6;Srm Rhotard 10;Morphine;10;mg;SRT;60;1;322,12;74,11;59,43;455,66;7,59;01 April 2018;;Generic;
0000000983;Akacia Health Care (Pty) Ltd;Y/2.9/356;809705001;N02AA;S6;Srm Rhotard 30;Morphine;30;mg;SRT;60;1;532,75;122,52;98,29;753,55;12,56;;;Generic;
0000000983;Akacia Health Care (Pty) Ltd;Y/2.9/357;809713004;N02AA;S6;Srm Rhotard 60;Morphine;60;mg;SRT;60;1;858,86;197,54;158,46;1 214,86;20,25;01 April 2018;;Generic;
0000000983;Akacia Health Care (Pty) Ltd;Y/2.9/358;809721007;N02AA;S6;Srm Rhotard 100;Morphine;100;mg;SRT;60;1;1 310,34;288,28;239,79;1 838,42;30,64;01 April 2018;;Generic;
0000000983;Akacia Health Care (Pty) Ltd;W/13.4.2/74;817740007;D05BB;S5;Neotigason 25 mg;Acitretin;25;mg;CAP;30;1;1 510,88;215,35;258,93;1 985,16;66,17;;;Originator;
0000000983;Akacia Health Care (Pty) Ltd;28/2.7/0572;819336017;M01AB;S4;Tora-Dol  ;Ketorolac;10;mg;TAB;100;1;725,78;76,02;120,27;922,07;9,22;01 April 2018;;Originator;
0000000983;Akacia Health Care (Pty) Ltd;28/2.7/0570;819344028;M01AB;S4;Tora-Dol  1 %;Ketorolac;10;mg/ml;INJ;5;1;96,23;10,07;15,94;122,24;24,45;;;Originator;
0000000983;Akacia Health Care (Pty) Ltd;28/2.7/0571;819352012;M01AB;S4;Tora-Dol  3 %;Ketorolac;30;mg/ml;INJ;5;1;163,73;17,16;27,13;208,02;41,60;01 April 2018;;Originator;
0000000983;Akacia Health Care (Pty) Ltd;29/2.8/0280;834440008;N02BE;S5;Spectrapain Forte T;Caffeine;32;mg;TAB;100;1;26,34;6,05;4,86;37,26;0,37;01 April 2018;;Generic;
;;;;;;;Codeine;8;mg;;;;;;;;;;;;
;;;;;;;Meprobamate;150;mg;;;;;;;;;;;;
;;;;;;;Paracetamol;320;mg;;;;;;;;;;;;
0000000983;Akacia Health Care (Pty) Ltd;29/2.8/0280;834440016;N02BE;S5;Spectrapain Forte T;Caffeine;32;mg;TAB;500;1;152,94;7,93;24,13;185,01;0,37;01 April 2018;;Generic;
;;;;;;;Codeine;8;;;;;;;;;;;;;
;;;;;;;Meprobamate;150;;;;;;;;;;;;;
;;;;;;;Paracetamol;320;;;;;;;;;;;;;
0000000983;Akacia Health Care (Pty) Ltd;29/2.8/0280;834440024;N02BE;S5;Spectrapain Forte T;Caffeine;32;mg;TAB;1000;1;265,60;58,44;48,61;372,64;0,37;;;Generic;
;;;;;;;Codeine;8;mg;;;;;;;;;;;;
;;;;;;;Meprobamate;150;mg;;;;;;;;;;;;
;;;;;;;Paracetamol;320;mg;;;;;;;;;;;;
0000000983;Akacia Health Care (Pty) Ltd;30/3.1/0374;838039006;M01AE;S2;Synflex 550  ;Naproxen;550;mg;TAB;10;1;138,37;19,72;23,71;181,80;18,18;01 April 2018;;Originator;
0000000983;Akacia HealthCare (Pty) Ltd;44/2.6.5/0447;721652001;N05AH;S5;Zylena 5;Olanzapine ;5;mg;FCT;30;1;371,25;41,25;61,88;474,38;15,81;;;Generic;
0000000983;Akacia HealthCare (Pty) Ltd;44/2.6.5/0448;721653001;N05AH;S5;Zylena 10;Olanzapine ;10;mg;FCT;30;1;475,82;52,87;79,30;607,99;20,27;01 April 2018;;Generic;
0000000697;Alcon Laboratories (Sa) (Pty) Ltd;35/15.1/0410;701064001;S01AX;S4;Ciloxan ;Ciprofloxacin;3;mg/g;EYO;3,5;1;137,53;22,76;24,04;184,33;52,67;01 April 2018;;Originator;
0000000697;Alcon Laboratories (Sa) (Pty) Ltd;33/15.4/0189;701415001;S01GX;S2;Patanol ;Olopatadine;1;mg/ml;OPD;5;1;118,90;19,67;20,79;159,36;31,87;;;Originator;
0000000697;Alcon Laboratories (Sa) (Pty) Ltd;34/15.4/0382;701523001;S01EC;S3;Azoptic ;Brinzolamide;10;mg/ml;OPD;5;1;144,79;23,96;25,31;194,06;38,81;01 April 2018;;Originator;
0000000697;Alcon Laboratories (Sa) (Pty) Ltd;36/15.4/0333;702534003;S01EE;S4;Travatan ;Travoprost;40;µg/ml;OPD;2,5;1;149,67;24,77;26,17;200,61;80,24;;;Originator;
0000000697;Alcon Laboratories (Sa) (Pty) Ltd;A40/15.1/0164;707883001;S01AX;S4;Vigamox Eye Drops;Moxifloxacin;5;mg/ml;OPD;5;1;156,56;25,91;27,37;209,84;41,97;01 April 2018;;Originator;
0000000697;Alcon Laboratories (Sa) (Pty) Ltd;S/15.4/371;708445004;S01ED;S3;Betoptic ;Betaxolol;5;mg/ml;OPD;5;1;164,35;27,19;28,73;220,27;44,05;01 April 2018;;Originator;
0000000697;Alcon Laboratories (Sa) (Pty) Ltd;A40/15.4/0511;708877001;S01ED;S4;Duotrav Eye Drops;Travoprost                                      ;40;µg/ml;OPD;2,5;1;184,65;30,55;32,28;247,48;98,99;;;Originator;
;;;;;;;Timolol maleate;0,5;%;;;;;;;;;;;;
0000000697;Alcon Laboratories (Sa) (Pty) Ltd;A40/28/0679;709634001;S01JA;S3;Fluorescite 10%;Fluorescein ;500;mg/5ml;INJ;5;12;2 868,07;474,66;501,41;3 844,14;64,07;;;Originator;
0000000697;Alcon Laboratories (Sa) (Pty) Ltd;A39/16.2/0544;710689001;S01AA;S4;Cilodex Ear Drops;Ciprofloxacin;3;mg/ml;EAR;5;1;180,30;29,83;31,52;241,65;48,33;01 April 2018;;Originator;
0000000697;Alcon Laboratories (Sa) (Pty) Ltd;42/15.4/1006;716222000;S01BC;S3;Nevanac;Nepafenac;1;mg/ml;OPD;5;;132,17;21,87;23,11;177,15;;01 April 2018;;Originator;
0000000697;Alcon Laboratories (Sa) (Pty) Ltd;42/15.4/1006;716222001;S01BC;S3;Nevanac;Nepafenac;1;mg/ml;OPD;5;1;155,12;25,67;27,12;207,91;41,58;;;Originator;
0000000697;Alcon Laboratories (Sa) (Pty) Ltd;H.1147;717029018;S01FA;S3;Cyclogyl 1% ;Cyclopentolate;10;mg/ml;OPD;15;1;138,50;22,92;24,21;185,63;12,38;01 April 2018;;Originator;
0000000697;Alcon Laboratories (Sa) (Pty) Ltd;H.1149;717037002;S01FA;S3;Cyclomydril ;Cyclopentolate;2;mg/ml;OPD;5;1;126,96;21,01;22,20;170,17;34,03;;;Originator;
;;;;;;;Phenylephrine;1;%;;;;;;;;;;;;
0000000697;Alcon Laboratories (Sa) (Pty) Ltd;44/15.4/0046;717260001;S01ED;S4;Azarga;Brinzolamide;10;mg/ml;OPD;5;1;158,60;26,24;27,73;212,57;42,51;01 April 2018;;Originator;
;;;;;;;Timolol;5;mg/ml;;;;;;;;;;;;
0000000697;Alcon Laboratories (Sa) (Pty) Ltd;N/15.2/16;726702005;S01BA;S4;Flucon;Fluorometholone;1;mg/ml;OPD;5;1;136,51;22,59;23,87;182,97;36,59;01 April 2018;;Originator;
0000000697;Alcon Laboratories (Sa) (Pty) Ltd;A40/28/0679;726834009;S01JA;S1;Fluorescite 25% 5Ml;Fluorescein;25;%;INJ;12;1;1 987,53;328,93;347,47;2 663,94;221,99;;;Originator;
0000000697;Alcon Laboratories (Sa) (Pty) Ltd;H.1161;734179006;S01EB;S3;Isopto Carpine 2% ;Pilocarpine;20;mg/ml;OPD;15;1;91,07;15,07;15,92;122,06;8,14;01 April 2018;;Originator;
0000000697;Alcon Laboratories (Sa) (Pty) Ltd;H.1159;734195001;S01EB;S3;Isopto Carpine 4% ;Pilocarpine;40;mg/ml;OPD;15;1;102,11;16,89;17,85;136,85;9,12;01 April 2018;;Originator;
0000000697;Alcon Laboratories (Sa) (Pty) Ltd;H.1135;734276001;S01FA;S3;Isopto Atropine 1% ;Atropine;10;mg/ml;OPD;5;1;110,05;18,21;19,24;147,50;29,50;;;Originator;
0000000697;Alcon Laboratories (Sa) (Pty) Ltd;H.1129;734284004;S01EB;S3;Isopto Carpine 1%;Pilocarpine;10;mg/ml;OPD;15;1;94,37;15,61;16,50;126,48;8,43;01 April 2018;;Originator;
0000000697;Alcon Laboratories (Sa) (Pty) Ltd;H.1131;734322003;S01FA;S3;Isopto Homatropine 2% ;Homatropine;20;mg/ml;OPD;5;1;107,47;17,78;18,79;144,04;28,81;;;Originator;
0000000697;Alcon Laboratories (Sa) (Pty) Ltd;H.1143;740446002;S01BA;S4;Maxidex ;Dexamethasone;1;mg/ml;OPD;5;1;126,46;20,92;22,11;169,49;33,90;01 April 2018;;Originator;
0000000697;Alcon Laboratories (Sa) (Pty) Ltd;H.1145;740454005;S01CA;S4;Maxitrol;Dexamethasone;1;mg/ml;OPD;5;1;121,13;20,04;21,18;162,35;32,47;01 April 2018;;Originator;
;;;;;;;Neomycin;3500;iu;;;;;;;;;;;;
;;;;;;;Polymyxin B;6000;iu;;;;;;;;;;;;
0000000697;Alcon Laboratories (Sa) (Pty) Ltd;H.1158;740462008;S01CA;S4;Maxitrol Ointment;Dexamethasone;1;mg/ml;EYO;3,5;1;124,26;20,56;21,72;166,54;47,58;;;Originator;
;;;;;;;Neomycin;3500;iu;;;;;;;;;;;;
;;;;;;;Polymyxin B;6000;iu;;;;;;;;;;;;
0000000697;Alcon Laboratories (Sa) (Pty) Ltd;H.1154;745383009;S01FA;S3;Mydriacyl 1% ;Tropicamide;10;mg/ml;OPD;15;1;133,71;22,12;23,37;179,20;11,95;;;Originator;
0000000697;Alcon Laboratories (Sa) (Pty) Ltd;RX/15.1/240;745987001;A01AB;S4;Natacyn ;Natamycin;50;mg/ml;OPD;15;1;1 502,71;248,69;262,71;2 014,11;134,27;01 April 2018;;Originator;
0000000697;Alcon Laboratories (Sa) (Pty) Ltd;R/15.4/121;755389018;S01EB;S3;Pilogel ;Pilocarpine;4;%;OPG;5;1;159,51;26,40;27,89;213,79;42,76;;;Originator;
0000000697;Alcon Laboratories (Sa) (Pty) Ltd;P/15.1/58;771082002;S01AA;S4;Tobrex Eye Drops;Tobramycin;3;mg/ml;OPD;5;1;87,14;14,42;15,23;116,79;23,36;01 April 2018;;Originator;
0000000697;Alcon Laboratories (Sa) (Pty) Ltd;P/15.1/205;771104006;S01AA;S4;Tobrex Eye Ointment;Tobramycin;3;mg/ml;EYO;3,5;1;87,48;14,47;15,29;117,24;33,50;01 April 2018;;Originator;
0000000697;Alcon Laboratories (Sa) (Pty) Ltd;X/15.3/92;789186004;S01CA;S4;Tobradex Eye Ointment;Dexamethasone;1;mg/ml;EYO;3,5;1;135,45;22,41;23,68;181,54;51,87;;;Originator;
;;;;;;;Tobramycin;;;;;;;;;;;01 January 1900;;;
0000000697;Alcon Laboratories (Sa) (Pty) Ltd;X/15.3/91;789194007;S01CA;S4;Tobradex Eye Drops;Dexamethasone;1;mg/ml;OPD;5;1;135,59;22,44;23,70;181,73;36,35;;;Originator;
;;;;;;;Tobramycin;;;;;;;;;;;01 January 1900;;;
0000000697;Alcon Laboratories (Sa) (Pty) Ltd;Y/3/319;789437007;S01KA;S4;Viscoat;Sodium Chondroitin Sulphate;40;mg/ml;OPI;0,5;1;829,81;137,33;145,07;1 112,21;2 224,42;01 April 2018;;Originator ;
;;;;;;;Hyaluronate acid;30;mg/ml;;;;;;;;;;;;
0000000697;Alcon Laboratories (Sa) (Pty) Ltd;Z/15.1/202;794104002;S01AX;S4;Ciloxan Eye Drops;Ciprofloxacin;3;mg/ml;OPD;5;1;130,51;21,59;22,82;174,92;34,98;01 April 2018;;Originator;
0000000697;Alcon Laboratories (Sa) (Pty) Ltd;X/15.4/26;806412003;S01GX;S2;Alomide ;Lodoxamide;1;mg/ml;OPD;10;1;138,85;22,97;24,27;186,09;18,61;;;Originator;
0000000697;Alcon Laboratories (Sa) (Pty) Ltd;X/3/408;808296019;S01KA;S4;Provisc;Sodium Hyaluronate;10;mg/ml;OPI;0,4;1;192,43;38,16;34,59;265,18;662,95;06 April 2018;;Originator;
0000000697;Alcon Laboratories (Sa) (Pty) Ltd;X/3/408;814377009;S01KA;S4;Provisc;Sodium Hyaluronate;10;mg/ml;OPI;0,55;1;264,59;52,47;47,56;364,62;662,94;06 April 2018;;Originator;
0000000697;Alcon Laboratories (Sa) (Pty) Ltd;28/15.4/0716;822868008;S01ED;S3;Betoptic S Single Dose ;Betaxolol;2,5;mg/ml;OPD;0,25;50;628,05;103,94;109,80;841,79;67,34;;;Originator;
0000000697;Alcon Laboratories (Sa) (Pty) Ltd;30/15.4/0125;825484006;S01EA;S4;Iopidine 0.5% ;Apraclonidine;5;mg/ml;OPD;10;1;254,16;42,06;44,43;340,65;34,07;01 April 2018;;Originator;
0000000697;Alcon Laboratories (Sa) (Pty) Ltd;X/15.4/178;833789007;S01EA;S4;Iopidine ;Apraclonidine;10;mg/ml;OPD;0,25;24;2 550,07;422,03;445,82;3 417,92;569,65;;;Originator;
0000000697;Alcon Laboratories (Sa) (Pty) Ltd;Z/15.4/150;836052005;S01ED;S3;Betoptic S 0.25% Ophthalmic Suspension;Betaxolol;2,5;mg/ml;OPD;5;1;170,06;28,14;29,73;227,93;45,59;01 April 2018;;Originator;
0000000697;Alcon Laboratories (Sa) (Pty) Ltd;33/16.2/0024;878065008;S02AA;S4;Ciprobay Hc Otic Drops ;Ciprofloxacin;2;mg/ml;EAR;10;1;125,46;20,76;21,93;168,15;16,82;01 April 2018;;Originator;
;;;;;;;Hydrocortisone;1;%;;;;;;;;;;;;
0000000697;Alcon Laboratories (Sa) (Pty) Ltd;X/3/408;878081003;S01KA;S4;Provisc;Sodium Hyaluronate;10;mg/ml;OPI;0,85;1;408,91;81,09;73,50;563,50;662,94;06 April 2018;;Originator;
0000000697;Alcon Laboratories (Sa) (Pty) Ltd;Y/3/319;878103007;S01KA;S4;Viscoat;Sodium Chondroitin Sulphate;40;mg/ml;OPI;0,75;1;1 244,70;205,99;217,60;1 668,29;2 224,39;;;Originator ;
;;;;;;;Hyaluronate acid;30;mg/ml;;;;;;;;;;;;
0000000697;Alcon Laboratories (Sa) (Pty) Ltd;33/3/0182;882903001;S01KA;S4;Duovisc Intraocular Viscoelatic System;(Viscoat)Sodium Chondroitin Sulphate;40;mg/ml;COM;1,05;1;1 260,78;208,65;220,41;1 689,84;1 609,38;01 April 2018;;Originator ;
;;;;;;;(Viscoat)Sodium Hyaluronate;30;mg/ml;;;;;;;;;;;;
;;;;;;;(Provisc)Sodium Hyaluronate;10;mg/ml;;;;;;;;;;;;
0000000697;Alcon Laboratories (Sa) (Pty) Ltd;33/3/0182;882911004;S01KA;S4;Duovisc Intraocular Viscoelatic System;(Viscoat)Sodium Chondroitin Sulphate;40;mg/ml;COM;0,75;1;900,56;149,04;157,44;1 207,04;1 609,39;;;Originator ;
;;;;;;;(Viscoat)Sodium Hyaluronate;30;mg/ml;;;;;;;;;;;;
;;;;;;;(Provisc)Sodium Hyaluronate;10;mg/ml;;;;;;;;;;;;
0000000697;Alcon Laboratories (Sa) (Pty) Ltd;34/15.4/0037;891449007;S01GX;S2;Emadine 5ml;Emedastine;0,5;mg/ml;OPD;5;1;112,22;18,57;19,62;150,41;30,08;;;Originator;
0000001057;Alkem Laboratories (Pty) Ltd;44/20.1.1/0582;717799001;J01DC;S4;Alkoxime 250 mg;Cefuroxime;250;mg;TAB;10;1;84,67;8,37;13,96;106,99;10,70;01 April 2018;;Generic;
0000001057;Alkem Laboratories (Pty) Ltd;44/20.1.1/0583;717801001;J01DC;S4;Alkoxime 500 mg;Cefuroxime;500;mg;TAB;10;1;157,53;15,58;25,97;199,08;19,91;;;Generic;
0000001057;Alkem Laboratories (Pty) Ltd;45/20.1.1/0216;718658001;J01DC;S4;Poxim 250 mg;Cefuroxime;250;mg;TAB;10;1;84,67;8,37;13,96;106,99;10,70;01 April 2018;;Generic;
0000001057;Alkem Laboratories (Pty) Ltd;45/20.1.1/0217;718659001;J01DC;S4;Poxim 500 mg;Cefuroxime;500;mg;TAB;10;1;157,53;15,58;25,97;199,08;19,91;01 April 2018;;Generic;
0000001057;Alkem Laboratories (Pty) Ltd;44/21.2/0795;718827001;A10BA;S3;Metformin Alkem 850 mg;Metformin Hydrochloride;850;mg;TAB;60;1;35,85;3,98;5,97;45,80;0,76;;;Generic;
0000001057;Alkem Laboratories (Pty) Ltd;44/21.2/0795;718827002;A10BA;S3;Metformin Alkem 850 mg;Metformin Hydrochloride;850;mg;TAB;300;1;179,23;19,90;29,87;229,00;0,76;01 April 2018;;Generic;
0000001057;Alkem Laboratories (Pty) Ltd;44/21.2/0795;718827003;A10BA;S3;Metformin Alkem 850 mg;Metformin Hydrochloride;850;mg;TAB;250;1;149,36;16,58;24,89;190,83;0,76;;;Generic;
0000001057;Alkem Laboratories (Pty) Ltd;44/21.2/0794;718828001;A10BA;S3;Metformin Alkem 500 mg;Metformin Hydrochloride;500;mg;TAB;100;1;32,20;3,54;5,36;41,11;0,41;01 April 2018;;Generic;
0000001057;Alkem Laboratories (Pty) Ltd;44/21.2/0794;718828002;A10BA;S3;Metformin Alkem 500 mg;Metformin Hydrochloride;500;mg;TAB;500;1;161,00;17,72;26,81;205,53;0,41;01 April 2018;;Generic;
0000001057;Alkem Laboratories (Pty) Ltd;45/32.2/0221;720269001;L04AA;S4;Mycokem 250;Mycophenolate Mofetil;250;mg;CAP;100;1;879,08;74,39;143,02;1 096,50;10,96;;;Generic;
0000001057;Alkem Laboratories (Pty) Ltd;44/32.2/0631;720270001;L04AA;S4;Mycokem 500;Mycophenolate Mofetil;500;mg;TAB;50;1;881,97;71,51;143,02;1 096,50;21,93;01 April 2018;;Generic;
0000001057;Alkem Laboratories (Pty) Ltd;45/32.2/0219;720271001;L04AA;S4;Mycophenolate Alkem 250 mg;Mycophenolate Mofetil;250;mg;CAP;100;1;866,80;86,68;143,02;1 096,50;10,96;;;Generic;
0000001057;Alkem Laboratories (Pty) Ltd;45/32.2/0220;720272001;L04AA;S4;Mycophenolate Alkem 500 mg;Mycophenolate Mofetil;500;mg;FCT;50;1;866,80;86,68;143,02;1 096,50;21,93;01 April 2018;;Generic;
0000000414;Allergan Pharmaceuticals (Pty) Ltd;36/15.4/0157;703666003;S01EE;S4;Lumigan 0.03%;Bimatoprost;0,299;mg/ml;OPD;3;1;200,46;12,03;31,87;244,36;81,45;01 April 2018;;Originator;
0000000414;Allergan Pharmaceuticals (Pty) Ltd;37/15.4/0691;707876001;S01GX;S2;Relestat;Epinastine hydrochloride;0,5;mg/ml;OPD;5;1;115,19;6,91;18,32;140,42;28,08;;;Originator;
0000000414;Allergan Pharmaceuticals (Pty) Ltd;27/30.4/0164;709214001;M03AX;S4;BOTOX ;Clostridium Botulinum Toxin Type A;50;U/vial;INJ;50;1;1 221,08;42,74;189,57;1 453,39;29,07;01 April 2018;;Originator;
0000000414;Allergan Pharmaceuticals (Pty) Ltd;A39/15.4/0202;709410001;S01EA;S3;Alphagan Purite;Brimonidine tartrate;1,5;mg/ml;OPD;5;1;146,54;8,79;23,30;178,63;35,73;;;Originator;
0000000414;Allergan Pharmaceuticals (Pty) Ltd;A39/15.4/0464;709863001;S01EA;S3;Combigan;Timolol maleate;5;mg/ml;OPD;5;1;199,59;11,98;31,74;243,31;48,66;01 April 2018;;Originator;
;;;;;;;Brimonidine tartrate;2;mg/ml;;;;;;;;;;;;
0000000414;Allergan Pharmaceuticals (Pty) Ltd;A39/15.1/0367;709867001;S01AX;S4;Zymar;Gatifloxacin;3;mg/ml;OPD;5;1;156,64;9,40;24,91;190,95;38,19;;;Originator;
;;;;;;;Benzalkonium;0,005;%m/v;;;;;;;;;;;;
0000000414;Allergan Pharmaceuticals (Pty) Ltd;A40/15.4/0282;713372001;S01BC;S4;Acular 0,4%;Ketorolac tromethamine;4;mg/ml;OPD;5;1;187,18;11,23;29,76;228,17;45,63;;;Originator;
0000000414;Allergan Pharmaceuticals (Pty) Ltd;44/15.2/0045;713829001;S01BA;S4;OZURDEX;Dexamethasone;700;µg;OPI;1;1;10 604,30;371,15;1 646,32;12 621,77;12 621,77;01 April 2018;;Originator;
0000000414;Allergan Pharmaceuticals (Pty) Ltd;42/15.4/0127;714110001;S01EA;S4;Ganfort;Bimatoprost ;3;mg/ml;OPD;3;1;205,71;12,34;32,71;250,76;83,59;01 April 2018;;Originator;
;;;;;;;Timolol maleate;5;mg/ml;;;;;;;;;;;;
0000000414;Allergan Pharmaceuticals (Pty) Ltd;42/15.4/0835;716754001;S01EE;S4;LUMIGAN 0.01%;Bimatoprost;0,1;mg/ml;OPD;2,5;1;164,25;9,86;26,12;200,23;80,09;01 April 2018;;Originator;
0000000414;Allergan Pharmaceuticals (Pty) Ltd;27/30.4/0164;720379001;M03AX;S4;BOTOX ;Clostridium Botulinum Toxin Type A;200;U/vial;INJ;200;1;4 884,34;170,95;758,29;5 813,58;29,07;;;Originator;
0000000414;Allergan Pharmaceuticals (Pty) Ltd;S/15.4/0194;723286001;S01ED;S3;Betagan 0.5% Liquifilm;Levobunolol hydrochloride;5;mg/ml;OPD;5;1;108,12;6,49;16,04;130,65;26,13;20 March 2018;;Originator;
0000000414;Allergan Pharmaceuticals (Pty) Ltd;J/15.2/327;726958018;S01BA;S4;FML Liquifilm Sterile Eye Suspension;Fluorometholone;1;mg/ml;OPD;5;1;150,55;9,03;23,94;183,52;36,70;01 April 2018;;Originator;
0000000414;Allergan Pharmaceuticals (Pty) Ltd;J/15.2/335;726966002;S01CA;S4;FML Neo Liquifilm Ophthalmic Suspension;Fluorometholone ;1;mg/ml;OPD;5;1;157,09;9,43;24,98;191,50;38,30;01 April 2018;;Originator;
;;;;;;;Neomycin sulphate;5;mg/ml;;;;;;;;;;;;
0000000414;Allergan Pharmaceuticals (Pty) Ltd;V/15.4/41;751952001;S01GA;S2;Oxylin Liquifilm Sterile Ophthalmic Solution;Oxymetazoline hydrochloride;0,25;mg/ml;OPD;15;1;51,94;3,12;8,26;63,32;4,22;01 April 2018;;Originator;
0000000414;Allergan Pharmaceuticals (Pty) Ltd;J/15.2/77;756458005;S01BA;S4;Pred Forte Sterile Eye Suspension;Prednisolone acetate;10;mg/ml;OPD;5;1;160,22;9,61;25,47;195,30;39,06;;;Originator;
0000000414;Allergan Pharmaceuticals (Pty) Ltd;J/15.2/73;756466008;S01BA;S4;Pred Mild Sterile Eye Suspension;Prednisolone acetate;1,2;mg/ml;OPD;5;1;129,91;7,79;20,66;158,36;31,67;01 April 2018;;Originator;
0000000414;Allergan Pharmaceuticals (Pty) Ltd;S/15.4/0194;781134005;S01ED;S3;Betagan 0.5% Liquifilm;Levobunolol hydrochloride;5;mg/ml;OPD;7,5;1;162,18;9,73;25,79;197,70;26,36;01 April 2018;;Originator;
0000000414;Allergan Pharmaceuticals (Pty) Ltd;27/30.4/0164;813850002;M03AX;S4;BOTOX ;Clostridium Botulinum Toxin Type A;100;U/vial;INJ;100;1;2 442,15;85,48;379,14;2 906,77;29,07;;;Originator;
0000000414;Allergan Pharmaceuticals (Pty) Ltd;29/15.4/0265;820032018;S01BC;S4;Acular 0.5%;Ketorolac tromethamine;5;mg/ml;OPD;5;1;174,14;10,45;27,69;212,28;42,46;01 April 2018;;Originator;
0000000414;Allergan Pharmaceuticals (Pty) Ltd;31/13.9.1/0179;837474019;D05AX;S3;Zorac 0,05%;Tazarotene;0,5;mg/ml;GEL;30;1;142,56;8,55;22,67;173,78;5,79;;Discontinued;Originator;
0000000415;Allergan Pharmaceuticals (Pty) Ltd;31/13.9.1/0180;837482003;D05AX;S3;Zorac 0,1%;Tazarotene;1;mg/g;GEL;30;1;120,62;7,70;19,25;147,57;4,92;01 April 2018;Discontinued;Originator;
0000000414;Allergan Pharmaceuticals (Pty) Ltd;Z/15.1/347;839957009;S01AX;S4;Exocin;Ofloxacin;3;mg/ml;OPD;5;1;71,36;4,28;11,35;86,99;17,40;01 April 2018;;Originator;
0000000585;Alliance Pharma (Pty) Ltd;32/20.1.1/0119;700287001;J01MA;S4;Cpl Alliance Ciprofloxacin 500;Ciprofloxacin;500;mg;TAB;10;1;12,26;2,16;2,16;16,59;1,66;;;Generic;
0000000585;Alliance Pharma (Pty) Ltd;33/5.7.1/0030;700899003;R06AE;S2;Zetop  Syrup;Cetirizine;5;mg/ml;SYR;150;1;112,10;11,22;18,50;141,82;0,95;01 April 2018;;Generic;
0000000585;Alliance Pharma (Pty) Ltd;N/10.1/99;727008005;R05FA;S2;Folcofen  ;Diphenhydramine Hcl;15;mg/5ml;SYR;100;1;14,45;1,74;2,43;18,61;0,19;;;Originator;
;;;;;;;Glyceryl Guaiacolate;100;mg/5ml;;;;;;;;;;;;
;;;;;;;Pholcodine;8;mg/5ml;;;;;;;;;;;;
0000000585;Alliance Pharma (Pty) Ltd;N/10.1/99;727008013;R05FA;S2;Folcofen;Diphenhydramine Hcl;15;mg/5ml;SYR;200;1;28,90;3,47;4,86;37,23;0,19;;;Originator;
;;;;;;;Glyceryl Guaiacolate;100;mg/5ml;;;;;;;;;;;;
;;;;;;;Pholcodine;8;mg/5ml;;;;;;;;;;;;
0000000585;Alliance Pharma (Pty) Ltd;W/20.2.6/64;793167078;J01XD;S4;Metazol 400;Metronidazole;400;mg;TAB;1000;1;163,83;19,67;27,52;211,02;0,21;01 April 2018;;Generic;
0000000585;Alliance Pharma (Pty) Ltd;29/5.8/0782;822744015;R06AA;S2;Sinuend;Caffeine;20;mg;TAB;20;1;12,31;1,24;2,03;15,58;0,78;01 April 2018;;Originator;
;;;;;;;Ephedrine;6;mg;;;;;;;;;;;;
;;;;;;;Paracetamol;200;mg;;;;;;;;;;;;
0000000585;Alliance Pharma (Pty) Ltd;28/20.2.2/0626;824011007;D01AC;S1;Canex T;Clotrimazole;10;mg/g;CRE;20;1;7,15;0,86;1,20;9,21;0,46;;;Generic;
0000000585;Alliance Pharma (Pty) Ltd;G 1277;824402006;R06AA;S2;Genhydramine Expectorant  ;Ammonium Chloride;273,86;mg;SYR;100;1;2,79;0,34;0,47;3,59;0,04;01 April 2018;;Originator;
;;;;;;;Diphenhydramine;28,149;mg;;;;;;;;;;;;
;;;;;;;Menthol;2,279;mg;;;;;;;;;;;;
;;;;;;;Sodium citrate;113,83;mg;;;;;;;;;;;;
0000000585;Alliance Pharma (Pty) Ltd;G 1277;824402022;R06AA;S2;Genhydramine Expectorant  ;Ammonium Chloride;273,86;mg;SYR;2500;1;69,87;8,38;11,74;89,99;0,04;;;Originator;
;;;;;;;Diphenhydramine;28,149;mg;;;;;;;;;;;;
;;;;;;;Menthol;2,279;mg;;;;;;;;;;;;
;;;;;;;Sodium citrate;113,83;mg;;;;;;;;;;;;
0000000585;Alliance Pharma (Pty) Ltd;28/20.2.2/0627;831913002;G01AF;S1;Canex V;Clotrimazole;10;mg/g;VCR;50;1;13,37;1,59;2,24;17,21;0,34;01 April 2018;;Generic;
